"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"258",4,2017-10-07,2122,"A647","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",31
"259",2,2017-10-09,1640,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,1,"Male",42
"260",3,2017-10-09,1730,"M62","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",21,1,3,"Female",32
"261",2,2017-10-10,702,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",1,1,2,"Male",41
"262",2,2017-10-10,1745,"A644","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Female",25
"263",2,2017-10-11,143,"A6026(M)","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",64
"264",1,2017-10-11,1130,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Male",56
"265",1,2017-10-12,611,"A6025","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",32
"266",2,2017-10-14,12,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",27
"267",2,2017-10-15,1935,"A646","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",62
"268",2,2017-10-16,1011,"M62","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",43
"269",1,2017-10-17,1607,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",87
"270",1,2017-10-18,1007,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",NA
"271",1,2017-10-19,840,"A672","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",33
"272",2,2017-10-14,1130,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",29
"273",2,2017-10-21,55,"A58","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",8,2,3,"Male",27
"274",4,2017-10-22,1531,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",56
"275",2,2017-10-25,1450,"A644","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",24
"276",1,2017-10-27,1630,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,2,"Female",15
"277",2,2017-10-28,1313,"A649","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",30
"278",2,2017-10-29,1220,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",41
"279",2,2017-10-31,1202,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",33
"280",1,2017-10-31,1720,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",25
"281",2,2017-10-31,1851,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",34
"282",3,2017-11-01,744,"B6112","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",28
"283",1,2017-11-04,2331,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",42
"284",3,2017-11-05,1020,"A644","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,2,3,"Male",5
"285",2,2017-11-05,2259,"U","Wet","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",23
"286",1,2017-11-06,1500,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",30
"287",2,2017-11-06,1709,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Male",19
"288",2,2017-11-06,1713,"M62","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",21,1,3,"Male",64
"289",1,2017-11-07,1150,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",27
"290",1,2017-11-07,1615,"A6025","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Male",17
"291",2,2017-11-08,1651,"U","Wet ¨ Damp","Darkness: No Street Lights Present",NA,"Fine, no high winds",9,1,3,"Male",40
"292",4,2017-11-08,1743,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Female",25
"293",1,2017-11-08,2100,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Male",25
"294",1,2017-11-09,1730,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",1,1,3,"Male",27
"295",1,2017-11-11,1858,"M62","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Female",26
"296",2,2017-11-13,1644,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",56
